shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
shp_AG_0,101.760359,3.150787,1
shp_AG_0,101.760196,3.144578,2
shp_AG_0,101.75999,3.143878,3
shp_AG_0,101.75951,3.142863,4
shp_AG_0,101.758881,3.142033,5
shp_AG_0,101.75677,3.14058,6
shp_AG_0,101.755968,3.140023,7
shp_AG_0,101.753709,3.138825,8
shp_AG_0,101.753168,3.138503,9
shp_AG_0,101.746847,3.134744,10
shp_AG_0,101.746187,3.134352,11
shp_AG_0,101.739057,3.130211,12
shp_AG_0,101.731529,3.125958,13
shp_AG_0,101.728977,3.124436,14
shp_AG_0,101.727991,3.123863,15
shp_AG_0,101.726985,3.123269,16
shp_AG_0,101.725876,3.122634,17
shp_AG_0,101.724878,3.121994,18
shp_AG_0,101.723392,3.121159,19
shp_AG_0,101.722374,3.120632,20
shp_AG_0,101.721709,3.120423,21
shp_AG_0,101.721217,3.120322,22
shp_AG_0,101.72054,3.120262,23
shp_AG_0,101.720171,3.120263,24
shp_AG_0,101.719741,3.120306,25
shp_AG_0,101.719475,3.120389,26
shp_AG_0,101.719004,3.120514,27
shp_AG_0,101.718474,3.120743,28
shp_AG_0,101.718231,3.120832,29
shp_AG_0,101.717873,3.121031,30
shp_AG_0,101.717483,3.121248,31
shp_AG_0,101.717293,3.121375,32
shp_AG_0,101.71712,3.121513,33
shp_AG_0,101.716587,3.121957,34
shp_AG_0,101.71606,3.123036,35
shp_AG_0,101.715816,3.123634,36
shp_AG_0,101.715571,3.124294,37
shp_AG_0,101.715397,3.124862,38
shp_AG_0,101.715318,3.125304,39
shp_AG_0,101.715269,3.126116,40
shp_AG_0,101.715339,3.126666,41
shp_AG_0,101.715433,3.127168,42
shp_AG_0,101.71558,3.127923,43
shp_AG_0,101.715645,3.128252,44
shp_AG_0,101.715707,3.128682,45
shp_AG_0,101.715824,3.129312,46
shp_AG_0,101.715855,3.12983,47
shp_AG_0,101.715854,3.130308,48
shp_AG_0,101.715686,3.130961,49
shp_AG_0,101.715495,3.131367,50
shp_AG_0,101.715312,3.131725,51
shp_AG_0,101.714957,3.132141,52
shp_AG_0,101.714448,3.132627,53
shp_AG_0,101.71432,3.132706,54
shp_AG_0,101.713772,3.133108,55
shp_AG_0,101.71342,3.133349,56
shp_AG_0,101.713012,3.133673,57
shp_AG_0,101.712777,3.133874,58
shp_AG_0,101.712626,3.134087,59
shp_AG_0,101.712307,3.134524,60
shp_AG_0,101.712063,3.134875,61
shp_AG_0,101.711905,3.135102,62
shp_AG_0,101.71145,3.135784,63
shp_AG_0,101.711182,3.136075,64
shp_AG_0,101.710757,3.136472,65
shp_AG_0,101.710326,3.136796,66
shp_AG_0,101.709723,3.137232,67
shp_AG_0,101.709134,3.137677,68
shp_AG_0,101.708292,3.138328,69
shp_AG_0,101.707554,3.13886,70
shp_AG_0,101.706833,3.139396,71
shp_AG_0,101.706109,3.1399,72
shp_AG_0,101.705863,3.140123,73
shp_AG_0,101.704905,3.140928,74
shp_AG_0,101.70462,3.141196,75
shp_AG_0,101.704299,3.141529,76
shp_AG_0,101.703915,3.141935,77
shp_AG_0,101.703602,3.142293,78
shp_AG_0,101.703255,3.142707,79
shp_AG_0,101.702969,3.14311,80
shp_AG_0,101.702628,3.143665,81
shp_AG_0,101.702245,3.144046,82
shp_AG_0,101.701899,3.144391,83
shp_AG_0,101.701573,3.144741,84
shp_AG_0,101.701329,3.145009,85
shp_AG_0,101.701141,3.145197,86
shp_AG_0,101.700911,3.145346,87
shp_AG_0,101.700724,3.145411,88
shp_AG_0,101.70051,3.14548,89
shp_AG_0,101.7002,3.145559,90
shp_AG_0,101.700007,3.145631,91
shp_AG_0,101.699886,3.145691,92
shp_AG_0,101.699713,3.145807,93
shp_AG_0,101.699579,3.145939,94
shp_AG_0,101.69946,3.146088,95
shp_AG_0,101.699212,3.146438,96
shp_AG_0,101.698938,3.14671,97
shp_AG_0,101.698496,3.147138,98
shp_AG_0,101.698149,3.147591,99
shp_AG_0,101.697611,3.148117,100
shp_AG_0,101.696865,3.148904,101
shp_AG_0,101.696547,3.149302,102
shp_AG_0,101.696147,3.149802,103
shp_AG_0,101.695593,3.150423,104
shp_AG_0,101.695274,3.150781,105
shp_AG_0,101.695028,3.150982,106
shp_AG_0,101.694804,3.151116,107
shp_AG_0,101.694569,3.151241,108
shp_AG_0,101.694235,3.151373,109
shp_AG_0,101.694027,3.151535,110
shp_AG_0,101.693848,3.151776,111
shp_AG_0,101.693756,3.151958,112
shp_AG_0,101.693687,3.152186,113
shp_AG_0,101.693671,3.152417,114
shp_AG_0,101.693702,3.15276,115
shp_AG_0,101.693772,3.153095,116
shp_AG_0,101.693843,3.153446,117
shp_AG_0,101.693961,3.153908,118
shp_AG_0,101.694094,3.154394,119
shp_AG_0,101.694244,3.154857,120
shp_AG_0,101.694362,3.155335,121
shp_AG_0,101.694396,3.155503,122
shp_AG_0,101.694495,3.155996,123
shp_AG_0,101.69451,3.156267,124
shp_AG_0,101.694501,3.156722,125
shp_AG_0,101.694381,3.157311,126
shp_AG_0,101.694246,3.157613,127
shp_AG_0,101.694094,3.158011,128
shp_AG_0,101.693927,3.158497,129
shp_AG_0,101.693815,3.158847,130
shp_AG_0,101.693748,3.159173,131
shp_AG_0,101.693718,3.159516,132
shp_AG_0,101.693765,3.15989,133
shp_AG_0,101.693834,3.1602,134
shp_AG_0,101.693969,3.160656,135
shp_AG_0,101.694048,3.160967,136
shp_AG_0,101.694105,3.161172,137
shp_AG_0,101.694233,3.161637,138
shp_AG_0,101.694323,3.161987,139
shp_AG_0,101.69437,3.162258,140
shp_AG_0,101.694355,3.16243,141
shp_AG_0,101.694296,3.16265,142
shp_AG_0,101.694247,3.162756,143
shp_AG_0,101.694109,3.163013,144
shp_AG_0,101.693871,3.163363,145
shp_AG_0,101.693694,3.163646,146
shp_AG_0,101.693621,3.163904,147
shp_AG_0,101.693594,3.164119,148
shp_AG_0,101.693596,3.164321,149
shp_AG_0,101.693627,3.164527,150
shp_AG_0,101.693734,3.164849,151
shp_AG_0,101.693808,3.165173,152
shp_AG_0,101.693855,3.16538,153
shp_AG_0,101.693838,3.165786,154
shp_AG_0,101.693634,3.166534,155
shp_AG_0,101.693527,3.166925,156
shp_AG_0,101.693303,3.167759,157
shp_AG_0,101.693286,3.168073,158
shp_AG_0,101.693302,3.168275,159
shp_AG_0,101.693335,3.168426,160
shp_AG_0,101.693513,3.168763,161
shp_AG_0,101.693617,3.168917,162
shp_AG_0,101.693874,3.169185,163
shp_AG_0,101.694114,3.169454,164
shp_AG_0,101.694416,3.169827,165
shp_AG_0,101.694684,3.170138,166
shp_AG_0,101.694914,3.170402,167
shp_AG_0,101.695048,3.170601,168
shp_AG_0,101.695182,3.170848,169
shp_AG_0,101.695326,3.171168,170
shp_AG_0,101.695403,3.17146,171
shp_AG_0,101.695441,3.171733,172
shp_AG_0,101.695464,3.172116,173
shp_AG_0,101.69544,3.172458,174
shp_AG_0,101.695402,3.173033,175
shp_AG_0,101.695334,3.173451,176
shp_AG_0,101.695246,3.173987,177
shp_AG_0,101.695198,3.174441,178
shp_AG_0,101.695225,3.1749,179
shp_AG_0,101.695248,3.175219,180
shp_AG_0,101.695362,3.175497,181
shp_AG_0,101.695426,3.17566,182
shp_AG_0,101.695536,3.175854,183
shp_AG_0,101.695664,3.176114,184
shp_AG_0,101.695825,3.176503,185
shp_AG_0,101.695921,3.17686,186
shp_AG_0,101.695938,3.177105,187
shp_AG_0,101.695938,3.177378,188
shp_AG_0,101.695863,3.177795,189
shp_AG_0,101.695766,3.178068,190
shp_AG_0,101.695582,3.178595,191
shp_AG_0,101.695376,3.179183,192
shp_AG_0,101.695019,3.180112,193
shp_AG_0,101.694694,3.181037,194
shp_AG_0,101.69455,3.181569,195
shp_AG_0,101.694522,3.181847,196
shp_AG_0,101.694521,3.182074,197
shp_AG_0,101.694553,3.182352,198
shp_AG_0,101.694612,3.182565,199
shp_AG_0,101.69469,3.182824,200
shp_AG_0,101.6948,3.183037,201
shp_AG_0,101.694947,3.183292,202
shp_AG_0,101.695112,3.183575,203
shp_AG_0,101.695318,3.183946,204
shp_AG_0,101.69547,3.184356,205
shp_AG_0,101.695524,3.184515,206
shp_AG_0,101.695538,3.184735,207
shp_AG_0,101.695433,3.185356,208
shp_AG_0,101.695343,3.185874,209
shp_AG_0,101.695208,3.186597,210
shp_AG_1,101.695208,3.186597,1
shp_AG_1,101.695343,3.185874,2
shp_AG_1,101.695433,3.185356,3
shp_AG_1,101.695538,3.184735,4
shp_AG_1,101.695524,3.184515,5
shp_AG_1,101.69547,3.184356,6
shp_AG_1,101.695318,3.183946,7
shp_AG_1,101.695112,3.183575,8
shp_AG_1,101.694947,3.183292,9
shp_AG_1,101.6948,3.183037,10
shp_AG_1,101.69469,3.182824,11
shp_AG_1,101.694612,3.182565,12
shp_AG_1,101.694553,3.182352,13
shp_AG_1,101.694521,3.182074,14
shp_AG_1,101.694522,3.181847,15
shp_AG_1,101.69455,3.181569,16
shp_AG_1,101.694694,3.181037,17
shp_AG_1,101.695019,3.180112,18
shp_AG_1,101.695376,3.179183,19
shp_AG_1,101.695582,3.178595,20
shp_AG_1,101.695766,3.178068,21
shp_AG_1,101.695863,3.177795,22
shp_AG_1,101.695938,3.177378,23
shp_AG_1,101.695938,3.177105,24
shp_AG_1,101.695921,3.17686,25
shp_AG_1,101.695825,3.176503,26
shp_AG_1,101.695664,3.176114,27
shp_AG_1,101.695536,3.175854,28
shp_AG_1,101.695426,3.17566,29
shp_AG_1,101.695362,3.175497,30
shp_AG_1,101.695248,3.175219,31
shp_AG_1,101.695225,3.1749,32
shp_AG_1,101.695198,3.174441,33
shp_AG_1,101.695246,3.173987,34
shp_AG_1,101.695334,3.173451,35
shp_AG_1,101.695402,3.173033,36
shp_AG_1,101.69544,3.172458,37
shp_AG_1,101.695464,3.172116,38
shp_AG_1,101.695441,3.171733,39
shp_AG_1,101.695403,3.17146,40
shp_AG_1,101.695326,3.171168,41
shp_AG_1,101.695182,3.170848,42
shp_AG_1,101.695048,3.170601,43
shp_AG_1,101.694914,3.170402,44
shp_AG_1,101.694684,3.170138,45
shp_AG_1,101.694416,3.169827,46
shp_AG_1,101.694114,3.169454,47
shp_AG_1,101.693874,3.169185,48
shp_AG_1,101.693617,3.168917,49
shp_AG_1,101.693513,3.168763,50
shp_AG_1,101.693335,3.168426,51
shp_AG_1,101.693302,3.168275,52
shp_AG_1,101.693286,3.168073,53
shp_AG_1,101.693303,3.167759,54
shp_AG_1,101.693527,3.166925,55
shp_AG_1,101.693634,3.166534,56
shp_AG_1,101.693838,3.165786,57
shp_AG_1,101.693855,3.16538,58
shp_AG_1,101.693808,3.165173,59
shp_AG_1,101.693734,3.164849,60
shp_AG_1,101.693627,3.164527,61
shp_AG_1,101.693596,3.164321,62
shp_AG_1,101.693594,3.164119,63
shp_AG_1,101.693621,3.163904,64
shp_AG_1,101.693694,3.163646,65
shp_AG_1,101.693871,3.163363,66
shp_AG_1,101.694109,3.163013,67
shp_AG_1,101.694247,3.162756,68
shp_AG_1,101.694296,3.16265,69
shp_AG_1,101.694355,3.16243,70
shp_AG_1,101.69437,3.162258,71
shp_AG_1,101.694323,3.161987,72
shp_AG_1,101.694233,3.161637,73
shp_AG_1,101.694105,3.161172,74
shp_AG_1,101.694048,3.160967,75
