stop_id,stop_name,stop_lat,stop_lon,category,route_id,geometry,isOKU,status,search
AG18,AMPANG,3.150318,101.760049,LRT,AG,[object Object],true,valid,LRT AMPANG
AG17,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],true,valid,LRT CAHAYA
AG16,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],true,valid,LRT CEMPAKA
AG15,PANDAN INDAH,3.134581,101.746509,LRT,AG,[object Object],true,valid,LRT PANDAN INDAH
AG14,PANDAN JAYA,3.130141,101.739122,LRT,AG,[object Object],true,valid,LRT PANDAN JAYA
AG13,MALURI,3.12329,101.727283,LRT,AG,[object Object],true,valid,LRT MALURI
AG12,MIHARJA,3.120973,101.717922,LRT,AG,[object Object],true,valid,LRT MIHARJA
AG11,CHAN SOW LIN,3.128105,101.715637,LRT,AG,[object Object],true,valid,LRT CHAN SOW LIN
AG10,PUDU,3.134879,101.711957,LRT,AG,[object Object],true,valid,LRT PUDU
AG9,HANG TUAH,3.140012,101.705984,LRT,AG,[object Object],true,valid,LRT HANG TUAH
AG8,PLAZA RAKYAT,3.144049,101.702105,LRT,AG,[object Object],true,valid,LRT PLAZA RAKYAT
AG7,MASJID JAMEK,3.14927,101.696377,LRT,AG,[object Object],true,valid,LRT MASJID JAMEK
AG6,BANDARAYA,3.155567,101.694485,LRT,AG,[object Object],true,valid,LRT BANDARAYA
AG5,SULTAN ISMAIL,3.161245,101.694109,LRT,AG,[object Object],true,valid,LRT SULTAN ISMAIL
AG4,PWTC,3.166333,101.693586,LRT,AG,[object Object],true,valid,LRT PWTC
AG3,TITIWANGSA,3.173497,101.695367,LRT,AG,[object Object],true,valid,LRT TITIWANGSA
AG2,SENTUL,3.178484,101.695542,LRT,AG,[object Object],true,valid,LRT SENTUL
AG1,SENTUL TIMUR,3.185897,101.695217,LRT,AG,[object Object],true,valid,LRT SENTUL TIMUR
KJ37,PUTRA HEIGHTS,2.996227,101.575462,LRT,KJ,[object Object],true,valid,LRT PUTRA HEIGHTS
KJ36,SUBANG ALAM,3.009421,101.572281,LRT,KJ,[object Object],true,valid,LRT SUBANG ALAM
KJ35,ALAM MEGAH,3.023151,101.572029,LRT,KJ,[object Object],true,valid,LRT ALAM MEGAH
KJ34,USJ 21,3.029881,101.581711,LRT,KJ,[object Object],true,valid,LRT USJ 21
KJ33,WAWASAN,3.035062,101.588348,LRT,KJ,[object Object],true,valid,LRT WAWASAN
KJ32,TAIPAN,3.04815,101.590233,LRT,KJ,[object Object],true,valid,LRT TAIPAN
KJ31,USJ 7,3.054956,101.592194,LRT,KJ,[object Object],true,valid,LRT USJ 7
KJ30,SS 18,3.067182,101.585945,LRT,KJ,[object Object],true,valid,LRT SS 18
KJ29,SS 15,3.075972,101.585983,LRT,KJ,[object Object],true,valid,LRT SS 15
KJ28,SUBANG JAYA,3.08466,101.588127,LRT,KJ,[object Object],true,valid,LRT SUBANG JAYA
KJ27,CGC GLENMARIE,3.094732,101.590622,LRT,KJ,[object Object],true,valid,LRT CGC GLENMARIE
KJ26,ARA DAMANSARA,3.108643,101.586372,LRT,KJ,[object Object],true,valid,LRT ARA DAMANSARA
KJ25,LEMBAH SUBANG,3.112094,101.591034,LRT,KJ,[object Object],true,valid,LRT LEMBAH SUBANG
KJ24,KELANA JAYA,3.112497,101.6043,LRT,KJ,[object Object],true,valid,LRT KELANA JAYA
KJ23,TAMAN BAHAGIA,3.11079,101.612856,LRT,KJ,[object Object],true,valid,LRT TAMAN BAHAGIA
KJ22,TAMAN PARAMOUNT,3.104716,101.623192,LRT,KJ,[object Object],true,valid,LRT TAMAN PARAMOUNT
KJ21,ASIA JAYA,3.104343,101.637695,LRT,KJ,[object Object],true,valid,LRT ASIA JAYA
KJ20,TAMAN JAYA,3.104086,101.645248,LRT,KJ,[object Object],true,valid,LRT TAMAN JAYA
KJ19,UNIVERSITI,3.114616,101.661639,LRT,KJ,[object Object],true,valid,LRT UNIVERSITI
KJ18,KERINCHI,3.115506,101.668572,LRT,KJ,[object Object],true,valid,LRT KERINCHI
KJ17,ABDULLAH HUKUM,3.118735,101.672897,LRT,KJ,[object Object],true,valid,LRT ABDULLAH HUKUM
KJ16,BANK RAKYAT BANGSAR,3.127588,101.679062,LRT,KJ,[object Object],true,valid,LRT BANK RAKYAT BANGSAR
KJ15,KL SENTRAL,3.13442,101.68625,LRT,KJ,[object Object],true,valid,LRT KL SENTRAL
KJ14,PASAR SENI,3.142439,101.69531,LRT,KJ,[object Object],true,valid,LRT PASAR SENI
KJ13,MASJID JAMEK,3.149714,101.696815,LRT,KJ,[object Object],true,valid,LRT MASJID JAMEK
KJ12,DANG WANGI,3.156942,101.701975,LRT,KJ,[object Object],true,valid,LRT DANG WANGI
KJ11,KAMPUNG BARU,3.161386,101.706608,LRT,KJ,[object Object],true,valid,LRT KAMPUNG BARU
KJ10,KLCC,3.158935,101.713287,LRT,KJ,[object Object],true,valid,LRT KLCC
KJ9,AMPANG PARK,3.159894,101.719017,LRT,KJ,[object Object],true,valid,LRT AMPANG PARK
KJ8,DAMAI,3.164406,101.724489,LRT,KJ,[object Object],true,valid,LRT DAMAI
KJ7,"DATO' KERAMAT",3.16509,101.73184,LRT,KJ,[object Object],true,valid,"LRT DATO' KERAMAT"
KJ6,JELATEK,3.167204,101.735344,LRT,KJ,[object Object],true,valid,LRT JELATEK
KJ5,SETIAWANGSA,3.17576,101.73584,LRT,KJ,[object Object],true,valid,LRT SETIAWANGSA
KJ4,SRI RAMPAI,3.199176,101.73747,LRT,KJ,[object Object],true,valid,LRT SRI RAMPAI
KJ3,WANGSA MAJU,3.205751,101.731796,LRT,KJ,[object Object],true,valid,LRT WANGSA MAJU
KJ2,TAMAN MELATI,3.219558,101.72197,LRT,KJ,[object Object],true,valid,LRT TAMAN MELATI
KJ1,GOMBAK,3.231793,101.724427,LRT,KJ,[object Object],true,valid,LRT GOMBAK
SP31,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,[object Object],true,valid,LRT PUTRA HEIGHTS
SP29,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,[object Object],true,valid,LRT PUCHONG PRIMA
SP28,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,[object Object],true,valid,LRT PUCHONG PERDANA
SP27,BANDAR PUTERI,3.017111,101.612855,LRT,PH,[object Object],true,valid,LRT BANDAR PUTERI
SP26,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,[object Object],true,valid,LRT TAMAN PERINDUSTRIAN PUCHONG
SP25,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,[object Object],true,valid,LRT PUSAT BANDAR PUCHONG
SP24,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,[object Object],true,valid,LRT IOI PUCHONG JAYA
